Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,
Manchester City Council,Manchester Leisure,Professional fees,01.07.2020,1906904457,"£1,440,000.00",Young Manchester,
Manchester City Council,Manchester Leisure,Professional fees,01.07.2020,5101093053,"£3,679.68",Daly Drains Ltd,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,01.07.2020,1906904428,"£7,725.00",Mintel Ltd,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,01.07.2020,1906904430,"£4,743.67",W.F.Howes Ltd,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,01.07.2020,1906904429,"£3,558.00",W.F.Howes Ltd,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,01.07.2020,1906904431,"£2,395.00",Oclc (UK) LTD,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,01.07.2020,5101093039,"£12,860.36",Carlton Fuels Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,01.07.2020,5101092989,"£10,717.96",Carlton Fuels Ltd,
Manchester City Council,Childrens & Education Services,Car Parking Permits,01.07.2020,1906893252,"£1,364.04",National Car Parks Ltd Season Ticke,
Manchester City Council,Childrens & Education Services,Professional fees,01.07.2020,5101093045,£916.30,Just Psychology CIC,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.07.2020,5101092965,"£8,854.43",New Bridge School,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.07.2020,5101092964,"£5,807.08",New Bridge School,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.07.2020,5101092967,"£2,313.68",New Bridge School,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.07.2020,5101092970,"£2,100.00",Cheadle Royal Healthcare,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.07.2020,5101092966,"£1,594.26",New Bridge School,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.07.2020,5101092977,£953.75,Gatley Primary School,
Manchester City Council,Childrens & Education Services,Payments for services,01.07.2020,5101092987,"£1,939.00",Tameside College,
Manchester City Council,Adult Social Care,Rents,01.07.2020,1906904458,"£4,250.00",Redacted Personal Information,
Manchester City Council,Adult Social Care,Rents,01.07.2020,1906903122,"£1,000.00",Jade Residential,
Manchester City Council,Adult Social Care,Rents,01.07.2020,1906904459,£990.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Rents,01.07.2020,1906900902,£800.00,Jade Residential,
Manchester City Council,Adult Social Care,Rents,01.07.2020,1906900904,£800.00,Jade Residential,
Manchester City Council,Adult Social Care,Rents,01.07.2020,1906900905,£800.00,Jade Residential,
Manchester City Council,Adult Social Care,Equipment,01.07.2020,5101092994,"£1,450.00",Ultimate Healthcare,
Manchester City Council,Adult Social Care,Stationery,01.07.2020,5101093028,£569.90,Banner Group Limited,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.07.2020,5101092982,"£30,363.25",The Booth Centre,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.07.2020,5101092969,"£3,011.75",The Mustard Tree,
Manchester City Council,Corporate Services,Professional fees,01.07.2020,5101093040,£950.00,Intelligence Business Solutions,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.07.2020,1906904456,"£34,757.78",Aon Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.07.2020,5101092978,"£384,740.26",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.07.2020,5101092978,"£46,168.83",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.07.2020,5101092981,"£16,188.32",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.07.2020,5101092981,"£1,942.60",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Housing General Fund,Building Works,01.07.2020,5101092998,"£2,957.80",Wythenshawe Community Housing Group,
Manchester City Council,Housing General Fund,Building Works,01.07.2020,5101092996,"£1,426.50",Jacobs UK Ltd,
Manchester City Council,Chief Executives,Agency staff provision,01.07.2020,5101093004,"£35,976.20",Cadence Resourcing Ltd,
Manchester City Council,Chief Executives,Agency staff provision,01.07.2020,5101093006,"£10,730.88",Michael Page International,
Manchester City Council,Chief Executives,Agency staff provision,01.07.2020,5101093008,"£8,749.89",Parity Professionals Ltd,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,01.07.2020,5101093007,"£32,000.00",Gardiner & Theobald LLP,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,01.07.2020,5101093050,"£1,152.62",DT Electrical UK Ltd,
Manchester City Council,Regeneration Finance,Security,01.07.2020,5101092985,"£24,019.81",MITIE SECURITY LIMITED,
Manchester City Council,Regeneration Finance,Grounds Maintenance Costs,01.07.2020,5101093024,"£2,510.00",Arboricultural Services Treework,
Manchester City Council,Regeneration Finance,Professional fees,01.07.2020,5101093046,"£13,119.70",Buro Happold Limited,
Manchester City Council,Regeneration Finance,Professional fees,01.07.2020,5101093027,£853.00,Alan Franklin Builders Limited,
Manchester City Council,Regeneration Finance,Professional fees,01.07.2020,5101092996,£577.65,Jacobs UK Ltd,
Manchester City Council,Regeneration Finance,Legal Fees,01.07.2020,5101093010,"£2,810.00",Eversheds Llp,
Manchester City Council,Regeneration Finance,Legal Fees,01.07.2020,5101093013,"£3,988.00",Eversheds Llp,
Manchester City Council,Highways Services,Building Materials for direct delivery,01.07.2020,5101092979,"£4,957.56",William Smith Sons (Barnard Castle),
Manchester City Council,Highways Services,Legal Fees,01.07.2020,5101092999,"£1,150.00",Redacted Personal Information,
Manchester City Council,Highways Services,Legal Fees,01.07.2020,1906900736,"£1,750.00",Redacted Personal Information,
Manchester City Council,Highways Services,Compensation Payments,01.07.2020,1906900579,"£4,494.00",McHale & Co Solicitors,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,02.07.2020,5101093230,"£3,200.00",Clean-Up UK Limited,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,02.07.2020,5101093226,"£1,500.00",Clean-Up UK Limited,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,02.07.2020,5101093227,"£1,500.00",Clean-Up UK Limited,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,02.07.2020,5101093231,"£1,080.00",Clean-Up UK Limited,
Manchester City Council,Manchester Leisure,Hire of Machinery,02.07.2020,5101093102,£782.76,F.R.Sharrock Ltd,
Manchester City Council,Manchester Leisure,Professional fees,02.07.2020,5101093051,"-£3,679.68",Daly Drains Ltd,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,02.07.2020,1906905549,£655.42,W.F.Howes Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,02.07.2020,5101093237,"£1,518.93",Manchester Van Hire Ltd,
Manchester City Council,Hospitality + Trading Services,Equipment,02.07.2020,5101093236,£573.60,Arco Group Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,02.07.2020,5101093241,"£29,149.00",Manchester Van Hire Ltd,
Manchester City Council,Childrens & Education Services,Professional fees,02.07.2020,1906900910,"£1,300.00",Central Chambers,
Manchester City Council,Childrens & Education Services,Professional fees,02.07.2020,1906900570,£698.45,Redacted Personal Information,
Manchester City Council,Childrens & Education Services,Professional fees,02.07.2020,1906900909,£650.00,Kenworthy's Chambers,
Manchester City Council,Childrens & Education Services,CORONA VIRUS D-19,02.07.2020,5101093115,"£1,760.00",Middleton Cars Ltd,
Manchester City Council,Childrens & Education Services,CORONA VIRUS D-19,02.07.2020,5101093122,"£1,600.00",Middleton Cars Ltd,
Manchester City Council,Childrens & Education Services,CORONA VIRUS D-19,02.07.2020,5101093120,"£1,120.00",Middleton Cars Ltd,
Manchester City Council,Childrens & Education Services,CORONA VIRUS D-19,02.07.2020,5101093125,£800.00,Middleton Cars Ltd,
Manchester City Council,Childrens & Education Services,Payments for services,02.07.2020,5101093059,"£7,813.75",Time Specialist Support Ltd,
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,02.07.2020,5101093057,"£28,961.97",UPS Building & Maintenance Ltd,
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,02.07.2020,5101093056,"-£28,961.97",UPS Building & Maintenance Ltd,
Manchester City Council,Adult Social Care,Rents,02.07.2020,1906905841,"£1,100.00",Redacted Personal Information,
