Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Gas,01.07.2021,1907279859,"£9,354.52",Gazprom Energy
Manchester City Council,Manchester Leisure,Gas,01.07.2021,1907279799,"£3,960.05",Gazprom Energy
Manchester City Council,Manchester Leisure,Gas,01.07.2021,1907279875,"£3,500.93",Gazprom Energy
Manchester City Council,Manchester Leisure,Gas,01.07.2021,1907279758,"£3,418.18",Gazprom Energy
Manchester City Council,Manchester Leisure,Gas,01.07.2021,1907279849,"£3,363.53",Gazprom Energy
Manchester City Council,Manchester Leisure,Gas,01.07.2021,1907279876,"£2,740.72",Gazprom Energy
Manchester City Council,Manchester Leisure,Gas,01.07.2021,1907279880,"£2,695.98",Gazprom Energy
Manchester City Council,Manchester Leisure,Gas,01.07.2021,1907279872,"£2,210.25",Gazprom Energy
Manchester City Council,Manchester Leisure,Gas,01.07.2021,1907279863,"£1,611.43",Gazprom Energy
Manchester City Council,Manchester Leisure,Gas,01.07.2021,1907279864,"£1,455.66",Gazprom Energy
Manchester City Council,Manchester Leisure,Gas,01.07.2021,1907279767,£921.64,Gazprom Energy
Manchester City Council,Manchester Leisure,Gas,01.07.2021,1907279874,£793.60,Gazprom Energy
Manchester City Council,Manchester Leisure,Professional fees,01.07.2021,5101139227,£523.00,Floreeda Fabrications Ltd
Manchester City Council,Hospitality + Trading Services,Gas,01.07.2021,1907279771,"£3,073.93",Gazprom Energy
Manchester City Council,Hospitality + Trading Services,Gas,01.07.2021,1907279760,"£1,204.97",Gazprom Energy
Manchester City Council,Hospitality + Trading Services,Rents,01.07.2021,1907278597,"£2,821.03",St Modwen Corporate Services Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,01.07.2021,5101139178,"£73,639.30",Winners Contract Hire Ltd
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,01.07.2021,5101139190,"£4,592.90",G E Robinson & Co Ltd
Manchester City Council,Childrens & Education Services,Payments for services,01.07.2021,5101139254,"£2,430.12",Fairfield Care Ltd
Manchester City Council,Childrens & Education Services,Payments for services,01.07.2021,5101139255,"£2,100.82",Fairfield Care Ltd
Manchester City Council,Childrens & Education Services,Payments for services,01.07.2021,5101139258,£574.16,Fairfield Care Ltd
Manchester City Council,Childrens & Education Services,Legal Fees,01.07.2021,5101139268,"£1,080.34",Warwickshire County Council
Manchester City Council,Childrens & Education Services,Legal Fees,01.07.2021,5101139249,"£2,190.44",Warwickshire County Council
Manchester City Council,Childrens & Education Services,Legal Fees,01.07.2021,5101139264,"£3,444.10",Warwickshire County Council
Manchester City Council,Childrens & Education Services,Legal Fees,01.07.2021,5101139262,"£5,141.90",Warwickshire County Council
Manchester City Council,Childrens & Education Services,Legal Fees,01.07.2021,5101139257,"£5,303.45",Warwickshire County Council
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,01.07.2021,5101139214,£662.48,T F Jones Property Services Ltd
Manchester City Council,Adult Social Care,Gas,01.07.2021,1907279855,£549.47,Gazprom Energy
Manchester City Council,Adult Social Care,Gas,01.07.2021,1907279891,£528.44,Gazprom Energy
Manchester City Council,Adult Social Care,Professional fees,01.07.2021,5101139173,"£1,217.78",NHS Supply Chain
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.07.2021,5101139229,"£17,680.00",Intra City Construction Group
Manchester City Council,Adult Social Care,Third party payments to Health Authority,01.07.2021,5101139266,"£2,641,750.00",Central Mcr Uni Hospital t/a
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.07.2021,5101139177,"£1,472.38",Coffee4Craig Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.07.2021,5101139176,£755.20,Coffee4Craig Ltd
Manchester City Council,Adult Social Care,Payments for services,01.07.2021,5101139179,"-£49,365.72",Potensial Ltd (T/A Potens)
