Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Equipment,01.06.2017,1905614858,"£3,473.99",Zilkens fine Art Insurance Broker
Manchester City Council,Manchester Leisure,Professional fees,01.06.2017,1905614856,"£158,868.85",WTF International Federation
Manchester City Council,Manchester Leisure,Professional fees,01.06.2017,1905614855,"£55,604.10",WTF International Federation
Manchester City Council,Environment and Operations,Works and associated costs for Land and Buildings,01.06.2017,5100920768,"£1,666.67",Enevo UK Limited
Manchester City Council,Environment and Operations,Works and associated costs for Land and Buildings,01.06.2017,5100920770,"£1,666.67",Enevo UK Limited
Manchester City Council,Adult Social Care,Transport Coach Hire,01.06.2017,5100920737,"£2,240.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Transport Coach Hire,01.06.2017,5100920779,"-£2,240.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Professional fees,01.06.2017,5100920739,"£4,107.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Professional fees,01.06.2017,5100920771,"£1,050.00",Action First iPeople Ltd
Manchester City Council,Adult Social Care,Professional fees,01.06.2017,5100920775,"£1,050.00",Action First iPeople Ltd
Manchester City Council,Adult Social Care,Professional fees,01.06.2017,5100920795,£700.00,Action First iPeople Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.06.2017,5100920767,"£1,383.35",Manchester Deaf Centre Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.06.2017,5100920766,"£1,383.33",Manchester Deaf Centre Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.06.2017,5100916665,£675.00,The Lesbian & Gay Foundation
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.06.2017,5100920789,£675.00,The Lesbian & Gay Foundation
Manchester City Council,Adult Social Care,Payments for services,01.06.2017,1905562104,"£2,880.00",Total Childcare Ltd
Manchester City Council,Adult Social Care,Foster Payments,01.06.2017,1905614867,"£1,960.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Foster Payments,01.06.2017,1905614863,"£1,215.44",Redacted Personal Information
Manchester City Council,Adult Social Care,Foster Payments,01.06.2017,1905614864,"£1,008.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Foster Payments,01.06.2017,1905614866,£561.32,Redacted Personal Information
Manchester City Council,Adult Social Care,Foster Payments,01.06.2017,1905614868,£556.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Foster Payments,01.06.2017,1905614862,£506.52,Redacted Personal Information
Manchester City Council,Adult Social Care,Student Direct Payments,01.06.2017,5100920741,"£4,107.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Student Direct Payments,01.06.2017,5100920750,"£4,107.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Student Direct Payments,01.06.2017,5100920760,"£4,107.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Student Direct Payments,01.06.2017,5100920753,"£4,107.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Student Direct Payments,01.06.2017,5100920740,"£4,107.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Student Direct Payments,01.06.2017,5100920752,"£4,107.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Student Direct Payments,01.06.2017,5100920749,"£4,107.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Student Direct Payments,01.06.2017,5100920757,"£4,107.00",Redacted Personal Information
Manchester City Council,Corporate Services,Electricity,01.06.2017,1905614825,£525.42,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.06.2017,1700071458,-£503.57,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.06.2017,1700071462,-£532.41,Scottish & Southern Energy Plc
Manchester City Council,Housing General Fund,Building Works,01.06.2017,1905614832,"£22,710.13",UPS Building & Maintenance Ltd
Manchester City Council,Housing General Fund,Building Works,01.06.2017,1905614829,"£7,987.66",UPS Building & Maintenance Ltd
Manchester City Council,Housing General Fund,Building Works,01.06.2017,1905614826,"£4,527.00",UPS Building & Maintenance Ltd
Manchester City Council,Housing General Fund,Building Works,01.06.2017,1905614818,"£4,441.00",Stannah Lift Services Ltd
