Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,
Manchester City Council,Manchester Leisure,Contract Cleaning External,01.06.2021,5101134905,£750.00,Northwest Asbestos Removals Ltd,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.06.2021,5101134941,"£4,500.00",Groundwork Landscapes Ltd,
Manchester City Council,Manchester Leisure,Professional fees,01.06.2021,5101134904,£600.00,Redacted Personal Information,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,01.06.2021,5101134966,"£14,705.20",Standard Fuels Oils,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,01.06.2021,5101134946,"£4,265.10",Fleet Dynamic Consultancy Ltd,
Manchester City Council,Hospitality + Trading Services,Compensation Payments,01.06.2021,1907244620,"£8,906.84",CLATTERBRIDGE PRIVATE CLINIC,
Manchester City Council,Hospitality + Trading Services,Compensation Payments,01.06.2021,1907244622,"£8,906.84",CLATTERBRIDGE PRIVATE CLINIC,
Manchester City Council,Childrens & Education Services,Security,01.06.2021,5101134988,"£2,354.43",Community Security (North West),
Manchester City Council,Childrens & Education Services,Transport Coach Hire,01.06.2021,5101134947,"£1,210.00",JKR Travel,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.06.2021,5101134962,"£11,459.30",New Bridge School,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.06.2021,5101134914,"£2,019.42",New Bridge School,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.06.2021,5101134907,"£1,156.87",New Bridge School,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.06.2021,5101134960,"£1,156.87",New Bridge School,
Manchester City Council,Childrens & Education Services,Payments for services,01.06.2021,5101134963,"£37,050.00",Social Care Services (Clayton) Ltd,
Manchester City Council,Childrens & Education Services,Supported Accommodation,01.06.2021,5101134931,£535.64,Redacted Personal Information,
Manchester City Council,Childrens & Education Services,Personal needs of client,01.06.2021,5101134916,"£14,905.60",Phonak UK,
Manchester City Council,Adult Social Care,Agency staff provision,01.06.2021,5101134903,£527.76,Vitality 24,
Manchester City Council,Adult Social Care,Rents,01.06.2021,1907248905,"£1,066.00",Balmer and co estates limited,
Manchester City Council,Adult Social Care,Rents,01.06.2021,1907248897,£500.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Equipment,01.06.2021,5101134975,£892.20,RNIB,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.06.2021,5101134951,"£98,000.00",Stepping Stone Projects,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.06.2021,5101134979,"£16,454.00",Stepping Stone Projects,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.06.2021,5101134935,"£14,092.66",The Shaw Centre,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.06.2021,5101134949,"£5,107.14",Stepping Stone Projects,
Manchester City Council,Adult Social Care,Payments for services,01.06.2021,5101134965,"£28,275.00",Morelife (UK) Ltd,
Manchester City Council,Adult Social Care,Payments for services,01.06.2021,5101134971,"£13,327.00",Morelife (UK) Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,01.06.2021,5101134972,"£4,468.00",Arawak Walton Housing Association,
