Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.03.2022,5105802917,£507.00,Eagle Containers Ltd,
Manchester City Council,Manchester Leisure,Professional fees,01.03.2022,5105802922,"£2,780.00",Redacted Personal Information,
Manchester City Council,Manchester Leisure,I T Provision,01.03.2022,5105802946,"£15,906.29",Lorensbergs Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,01.03.2022,5105802937,"£1,800.00",Peter Douglass Platforms,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,01.03.2022,5105802936,"£1,300.00",Peter Douglass Platforms,
Manchester City Council,Childrens & Education Services,Agency staff provision,01.03.2022,5105802914,"£5,260.00",Staff Resources Ltd,
Manchester City Council,Childrens & Education Services,Agency staff provision,01.03.2022,5105802915,"£5,225.00",Staff Resources Ltd,
Manchester City Council,Childrens & Education Services,Agency staff provision,01.03.2022,5105802912,"£3,411.70",Staff Resources Ltd,
Manchester City Council,Childrens & Education Services,Agency staff provision,01.03.2022,5105802913,"£3,390.39",Staff Resources Ltd,
Manchester City Council,Childrens & Education Services,Training and Development,01.03.2022,5105802906,"£9,842.00",One Education Ltd,
Manchester City Council,Childrens & Education Services,Transport Taxis,01.03.2022,1907555614,"£1,098.79",Cresta Car Hire,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,01.03.2022,5105802926,"£2,280.00",Redacted Personal Information,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,01.03.2022,5105802904,"£2,235.00",Middleton Cars Ltd,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,01.03.2022,5105802889,"£1,800.00",Middleton Cars Ltd,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,01.03.2022,5105802903,£960.00,Middleton Cars Ltd,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,01.03.2022,5105802902,£774.00,Middleton Cars Ltd,
Manchester City Council,Childrens & Education Services,Professional fees,01.03.2022,5105802888,"£1,106.67",Warwickshire County Council,
Manchester City Council,Childrens & Education Services,Professional fees,01.03.2022,5105802885,£750.00,Prospero Teaching,
Manchester City Council,Childrens & Education Services,Professional fees,01.03.2022,5105802883,£700.00,Prospero Teaching,
Manchester City Council,Childrens & Education Services,Payments for services,01.03.2022,5105802870,"£15,873.44",North Lakes Children's Services Ltd,
Manchester City Council,Childrens & Education Services,Payments for services,01.03.2022,5105802882,"£6,280.67",SOL Christian Academy,
Manchester City Council,Adult Social Care,Rents,01.03.2022,5105802961,"£79,988.29",Accommodation Links Ltd,
Manchester City Council,Adult Social Care,Rents,01.03.2022,5105802907,"£12,449.69",K L Properties,
Manchester City Council,Adult Social Care,Security,01.03.2022,5105802962,"£1,377.00",UNIQUE SPECIALIST SERVICES,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,01.03.2022,5105802925,"£39,934.50",Redacted Personal Information,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,01.03.2022,5105802930,"£3,760.00",Redacted Personal Information,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,01.03.2022,5105802944,"£2,895.00",Redacted Personal Information,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,01.03.2022,5105802927,"£2,360.00",Redacted Personal Information,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.03.2022,5105802955,"£4,410.82",Houses4Homes 4U Ltd,
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,01.03.2022,5105802890,"-£2,385.00",Jacobs UK Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Fees,01.03.2022,5105802942,£646.00,Life Environmental Services,
Manchester City Council,Chief Executives,Training and Development,01.03.2022,5105802935,"£1,895.00",Salford Professional Development,
Manchester City Council,Chief Executives,Professional fees,01.03.2022,5105802838,"£7,735.50",Weightmans LLP Solicitors,
Manchester City Council,Chief Executives,Professional fees,01.03.2022,5105802895,"£4,296.47",Russell & Russell Solicitors LLP,
Manchester City Council,Chief Executives,Professional fees,01.03.2022,5105802898,"£2,760.00",Russell & Russell Solicitors LLP,
Manchester City Council,Chief Executives,Professional fees,01.03.2022,5105802916,"£2,648.25",Russell & Russell Solicitors LLP,
Manchester City Council,Chief Executives,Legal Fees,01.03.2022,5105802911,"£1,625.00",Redacted Personal Information,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,01.03.2022,5105802794,£695.00,BAT Fabrications,
Manchester City Council,Regeneration Finance,Taxi Vehicle Materia,01.03.2022,5105802928,"£3,452.43",VIP-System Ltd,
Manchester City Council,Regeneration Finance,Taxi Vehicle Materia,01.03.2022,5105802929,£731.60,VIP-System Ltd,
Manchester City Council,Regeneration Finance,Furniture,01.03.2022,5105802833,"£1,224.97",Data Space Limited,
Manchester City Council,Regeneration Finance,Furniture,01.03.2022,5105802834,"-£1,224.97",Data Space Limited,
