Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,
Manchester City Council,Corporate Services,Fees,02.03.2020,1906779002,"£59,685.15",JBW Group Ltd.,
Manchester City Council,Chief Executives,Telecoms Equip,02.03.2020,5101077717,"£9,926.28",Banner Group Limited,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.03.2020,5101077687,"£8,682.00",Kane Funeral Services,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.03.2020,1906782521,"£2,607.50",Redacted Personal Information,
Manchester City Council,Hospitality + Trading Services,Furniture,02.03.2020,5101077790,"£2,038.38",Egan Reid Stationery Co Ltd,
Manchester City Council,Adult Social Care,Furniture,02.03.2020,5101077796,"£2,022.00",Egan Reid Stationery Co Ltd,
Manchester City Council,Adult Social Care,Rents,02.03.2020,5101077671,"£1,637.14",B & A Properties,
Manchester City Council,Adult Social Care,Rents,02.03.2020,5101077672,"£1,637.14",B & A Properties,
Manchester City Council,Corporate Services,Furniture,02.03.2020,5101077794,£980.00,Egan Reid Stationery Co Ltd,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.03.2020,1906782522,£626.20,Redacted Personal Information,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.03.2020,1906782513,£586.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Rents,02.03.2020,1906780168,£500.00,Redacted Personal Information,
Manchester City Council,Chief Executives,Grant and subscriptions awarded,02.03.2020,5101077697,£500.00,Beehives,
Manchester City Council,Regeneration Finance,Equipment,02.03.2020,5101077799,£500.00,Quadient Ltd (Credifon),
Manchester City Council,Regeneration Finance,Non Housing Rent Receipts,02.03.2020,1700096764,"-£2,975.00",Sale Moor Angling Society,
Manchester City Council,Corporate Services,Fees,02.03.2020,1906779002,"-£59,685.15",JBW Group Ltd.,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.03.2020,5101077841,"£303,636.36",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.03.2020,5101077842,"£56,354.91",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.03.2020,5101077842,"£50,920.02",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.03.2020,5101077842,"£47,584.25",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.03.2020,5101077896,"£39,000.00",Faithful & Gould Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.03.2020,5101077842,"£30,961.68",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Chief Executives,Paper & Envelopes,03.03.2020,5101077820,"£30,038.57",Premier Paper Group Ltd,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,03.03.2020,5101077906,"£28,268.33",Redacted Personal Information,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.03.2020,5101077842,"£24,151.09",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.03.2020,5101077842,"£17,524.47",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Chief Executives,Agency staff provision,03.03.2020,5101077932,"£14,811.42",Hays Personnel,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,03.03.2020,5101077804,"£14,605.42",Carlton Fuels Ltd,
Manchester City Council,Manchester Leisure,Security,03.03.2020,5101077756,"£10,938.69",Showsec International Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,03.03.2020,5101077807,"£9,739.87",Carlton Fuels Ltd,
Manchester City Council,Adult Social Care,Registered Nursing Homes Permanent Payments,03.03.2020,1906783177,"£9,216.00",Richmond Care,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.03.2020,5101077842,"£8,626.70",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.03.2020,5101077842,"£7,812.89",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Regeneration Finance,Rents,03.03.2020,1906783227,"£7,028.00",Regus Management (UK) Ltd,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,03.03.2020,5101077798,"£6,915.71",ENGIE Regeneration (Bramall) Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.03.2020,5101077842,"£6,227.50",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Adult Social Care,Equipment,03.03.2020,5101077811,"£6,034.50",Tunstall Healthcare (UK) Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.03.2020,5101077842,"£5,734.89",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Manchester Leisure,Professional fees,03.03.2020,5101077924,"£5,668.50",Greenwich Leisure Limited,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.03.2020,5101077842,"£5,590.00",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.03.2020,5101077842,"£5,323.00",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.03.2020,5101077842,"£5,251.50",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Adult Social Care,Registered Nursing Homes Permanent Payments,03.03.2020,1906783177,"£5,014.28",Richmond Care,
Manchester City Council,Adult Social Care,Building Materials for direct delivery,03.03.2020,5101077808,"£4,901.15",Supra UK Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.03.2020,5101077842,"£4,612.50",LendLease Construction(EUROPE) Ltd,
Manchester City Council,Housing General Fund,Building Works,03.03.2020,1906781896,"£4,326.11",Redacted Personal Information,
Manchester City Council,Hospitality + Trading Services,Insurance,03.03.2020,1906776550,"£4,075.53",Zurich Municipal,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.03.2020,5101077842,"£4,025.00",LendLease Construction(EUROPE) Ltd,
