Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Equipment,01.03.2021,5101121524,"£1,464.00",Solon Security Ltd
Manchester City Council,Childrens & Education Services,Training and Development,01.03.2021,5101121611,£550.00,The Proud Trust
Manchester City Council,Childrens & Education Services,Hire of Premises,01.03.2021,5101121585,£500.00,Child Action Northwest
Manchester City Council,Childrens & Education Services,Transport Coach Hire,01.03.2021,5101121602,"£1,926.00",Saltax Ltd
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.03.2021,5101121587,"£10,222.00",Sale High School
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.03.2021,5101121522,£690.75,Sale High School
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.03.2021,5101121537,"£1,263.00",Denton West End Primary School
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.03.2021,5101121523,"£3,505.32",Castle Hill High School
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.03.2021,5101121526,"£4,069.50",Lisburne School
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.03.2021,5101121539,"£3,339.75",Firwood High School
Manchester City Council,Childrens & Education Services,Payments for services,01.03.2021,5101121558,"£14,437.50",Time Specialist Support Ltd
Manchester City Council,Adult Social Care,Transport and Driver Hire,01.03.2021,5101121543,"£20,757.00",Ross Care
Manchester City Council,Adult Social Care,Transport and Driver Hire,01.03.2021,5101121534,"£19,757.00",Ross Care
Manchester City Council,Adult Social Care,Equipment,01.03.2021,5101121548,"£2,227.50",NRS Healthcare
Manchester City Council,Adult Social Care,Stationery,01.03.2021,5101121581,£604.00,Banner Group Limited
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.03.2021,5101121521,"£7,900.00",Hala Guest House
Manchester City Council,Adult Social Care,Third party payments to Health Authority,01.03.2021,5101121538,"£6,143.00",SH:24 CIC
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.03.2021,5101121515,"£122,349.53",Change Grow Live
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.03.2021,5101121516,"£32,294.24",Change Grow Live
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.03.2021,5101121554,"£13,510.07",Quays Housing
Manchester City Council,Adult Social Care,Payments for services,01.03.2021,5101121507,"£2,975.00",FoodSync CIC
Manchester City Council,Adult Social Care,Supporting People Payments,01.03.2021,5101121595,"£33,029.50",Irwell Valley Housing Association
Manchester City Council,Corporate Services,Training and Development,01.03.2021,5101121559,£984.73,CMS Training Services Ltd
Manchester City Council,Corporate Services,Training and Development,01.03.2021,5101121550,£555.48,CMS Training Services Ltd
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.03.2021,5101121592,"£9,338.54",Manchester Working Ltd
Manchester City Council,Housing General Fund,Building Works,01.03.2021,1907152758,"£13,665.71",Pollock Lifts Ltd
Manchester City Council,Housing General Fund,Building Works,01.03.2021,1907152751,"£4,707.36",Prism Medical UK Carefree Division
Manchester City Council,Housing General Fund,Building Works,01.03.2021,1907152752,"£6,096.00",Stannah Lift Services Ltd
Manchester City Council,Housing General Fund,Building Works,01.03.2021,1907152749,"£6,000.00",Stannah Lift Services Ltd
Manchester City Council,Housing General Fund,Building Works,01.03.2021,1907152760,"£5,971.00",Stannah Lift Services Ltd
Manchester City Council,Housing General Fund,Building Works,01.03.2021,1907152748,"£5,684.00",Stannah Lift Services Ltd
Manchester City Council,Housing General Fund,Building Works,01.03.2021,1907152759,"£4,714.00",Stannah Lift Services Ltd
Manchester City Council,Housing General Fund,Building Works,01.03.2021,1907152757,"£2,688.00",Stannah Lift Services Ltd
Manchester City Council,Housing General Fund,Building Works,01.03.2021,1907152755,"£1,400.00",Stannah Lift Services Ltd
Manchester City Council,Housing General Fund,Building Works,01.03.2021,1907152754,"£16,550.23",UPS Building & Maintenance Ltd
Manchester City Council,Housing General Fund,Building Works,01.03.2021,1907152753,"£8,155.94",UPS Building & Maintenance Ltd
Manchester City Council,Housing General Fund,Building Works,01.03.2021,1907152750,"£6,294.98",UPS Building & Maintenance Ltd
Manchester City Council,Housing General Fund,Building Works,01.03.2021,1907152756,"£3,110.78",UPS Building & Maintenance Ltd
Manchester City Council,Housing Revenue Account,Northwards Repairs Fee,01.03.2021,1907151907,"£8,005.00",Redacted Personal Information
Manchester City Council,Housing Revenue Account,Northwards Repairs Fee,01.03.2021,1907151908,"£7,970.00",Redacted Personal Information
Manchester City Council,Housing Revenue Account,Northwards Repairs Fee,01.03.2021,1907151909,"£7,665.00",Redacted Personal Information
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,01.03.2021,5101121562,£735.12,Switch2 Energey Limited
Manchester City Council,Chief Executives,Equipment Operating Lease,01.03.2021,5101121553,"£9,502.91",Xerox Finance Ltd
Manchester City Council,Chief Executives,Equipment Operating Lease,01.03.2021,5101121551,"£8,057.11",Xerox Finance Ltd
Manchester City Council,Chief Executives,Grant and subscriptions awarded,01.03.2021,5101121591,"£105,699.50",HOME
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,01.03.2021,5101121552,"£2,400.00",Edgerton Management Services
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,01.03.2021,5101121610,"£33,098.17",ENGIE Services Ltd
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,01.03.2021,5101121598,"£1,013.00",E Jordon (Refrigeration) Ltd
Manchester City Council,Regeneration Finance,Security,01.03.2021,5101121514,"£9,000.00",Ridge Park Security Ltd
Manchester City Council,Regeneration Finance,Equipment,01.03.2021,5101121582,"£2,850.00",CDS-Wilman
Manchester City Council,Regeneration Finance,Professional fees,01.03.2021,5101121540,"£1,950.00",Tameside Metropolitan Bouough
Manchester City Council,Regeneration Finance,Professional fees,01.03.2021,1907072399,"£28,009.45",Town Centre Parking Ltd
Manchester City Council,Highways Services,Building Materials for direct delivery,01.03.2021,5101121509,£540.00,O'Connor Concrete Ltd
Manchester City Council,Highways Services,Professional fees,01.03.2021,5101121594,£940.00,The Fountain Company Ltd
Manchester City Council,Highways Services,Professional fees,01.03.2021,5101121596,"£2,887.13",Wilde Consultants Ltd
Manchester City Council,Highways Services,Compensation Payments,01.03.2021,1907147236,"£2,982.00",MLL Ltd Client Account No 2
Manchester City Council,Highways Services,Legal Fees,01.03.2021,1907149315,"£3,750.00",Redacted Personal Information
Manchester City Council,Highways Services,Compensation Payments,01.03.2021,1907149224,£672.00,Express Solicitors
Manchester City Council,Manchester Leisure,Security,02.03.2021,5101121613,"£15,176.65",Showsec International Ltd
Manchester City Council,Manchester Leisure,Security,02.03.2021,5101121618,"£4,201.50",Showsec International Ltd
