Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Adult Social Care,Training and Development,04.05.2021,1907216071,"£2,000.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Rents,04.05.2021,1907203472,"£2,991.75",Ijaz Hussain Judge Services Ltd
Manchester City Council,Adult Social Care,Rents,04.05.2021,1907201279,"£2,100.00",Ryan Bakers Estate Agents
Manchester City Council,Childrens & Education Services,Contract Cleaning External,04.05.2021,5101131479,£667.00,Freshwave Cleaning Services Ltd
Manchester City Council,Hospitality + Trading Services,Cleaning Equipment and Materials,04.05.2021,1907222448,£626.55,Alliance Disposables Ltd
Manchester City Council,Hospitality + Trading Services,Cleaning Equipment and Materials,04.05.2021,1907222262,£614.40,Alliance Disposables Ltd
Manchester City Council,Hospitality + Trading Services,Cleaning Equipment and Materials,04.05.2021,1907222453,£571.87,Alliance Disposables Ltd
Manchester City Council,Manchester Leisure,Equipment,04.05.2021,1907221958,"£11,036.14",WWW.ALANMARCHSPORT.COM
Manchester City Council,Manchester Leisure,Equipment,04.05.2021,1907221957,"£3,050.40",WWW.ALANMARCHSPORT.COM
Manchester City Council,Hospitality + Trading Services,Equipment,04.05.2021,1907222074,"£2,484.56",Stapletons Tyre Services
Manchester City Council,Hospitality + Trading Services,Equipment,04.05.2021,1907222075,"£2,162.04",Stapletons Tyre Services
Manchester City Council,Adult Social Care,Equipment,04.05.2021,5101131477,"£4,297.50",NRS Healthcare
Manchester City Council,Adult Social Care,Equipment,04.05.2021,5101131476,£720.00,NRS Healthcare
Manchester City Council,Chief Executives,Equipment,04.05.2021,1907221935,"£2,170.00",SAFARI BOOKS ONLINE
Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",04.05.2021,1907222079,"£1,487.88",ZOOM.US 888-799-9666
Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",04.05.2021,1907222069,£900.00,ARTNET AG
Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",04.05.2021,1907221984,£571.46,Post Office (CARD ONLY)
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",04.05.2021,1907222031,"£2,240.00",SUMUP  *STUDENT LIVING MA
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222484,"£1,240.62",Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222332,"£1,075.29",Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222486,£973.96,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222218,£947.69,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222338,£936.01,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222364,£806.99,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222394,£771.32,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222411,£722.31,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222244,£707.78,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222167,£685.18,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222399,£681.48,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222436,£667.73,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222489,£658.76,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222342,£654.66,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222203,£628.53,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222205,£618.76,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222378,£612.96,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222438,£612.05,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222312,£545.67,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222255,£545.22,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222267,£541.90,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222441,£541.39,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222219,£526.86,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222179,£517.58,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.05.2021,1907222504,£516.18,Brake Bros Foodservice Ltd
Manchester City Council,Adult Social Care,General Office expenses,04.05.2021,1907222104,£530.23,WEALDEN REHAB LTD
Manchester City Council,Chief Executives,Data Links,04.05.2021,5101131494,"£2,833.34",The Loop t/a Gamma Telecom Ltd
Manchester City Council,Chief Executives,Data Links,04.05.2021,5101131497,"£2,833.34",The Loop t/a Gamma Telecom Ltd
Manchester City Council,Chief Executives,Data Links,04.05.2021,5101131499,"£2,833.34",The Loop t/a Gamma Telecom Ltd
Manchester City Council,Chief Executives,Data Links,04.05.2021,5101131486,"-£2,857.34",The Loop t/a Gamma Telecom Ltd
Manchester City Council,Chief Executives,Data Links,04.05.2021,5101131489,"-£2,857.34",The Loop t/a Gamma Telecom Ltd
Manchester City Council,Chief Executives,Data Links,04.05.2021,5101131490,"-£2,857.34",The Loop t/a Gamma Telecom Ltd
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,04.05.2021,5101131474,"£1,100.00",Brunswick Parish Church
Manchester City Council,Chief Executives,Hospitality,04.05.2021,1907222019,"£1,550.00",ETSY.COM - JESSICA6DESIGN
Manchester City Council,Chief Executives,Advertising,04.05.2021,1907221938,£700.00,Facebook (CARD ONLY)
Manchester City Council,Chief Executives,Advertising,04.05.2021,1907221949,£700.00,Facebook (CARD ONLY)
Manchester City Council,Chief Executives,Advertising,04.05.2021,1907221961,£700.00,Facebook (CARD ONLY)
Manchester City Council,Chief Executives,Advertising,04.05.2021,1907221964,£700.00,Facebook (CARD ONLY)
Manchester City Council,Chief Executives,Advertising,04.05.2021,1907221998,£700.00,Facebook (CARD ONLY)
Manchester City Council,Chief Executives,Advertising,04.05.2021,1907222018,£700.00,Facebook (CARD ONLY)
Manchester City Council,Chief Executives,Advertising,04.05.2021,1907222039,£700.00,Facebook (CARD ONLY)
Manchester City Council,Chief Executives,Advertising,04.05.2021,1907221952,£616.78,MAILCHIMP P CARD ONLY
Manchester City Council,Manchester Leisure,Library Materials Acquisition,04.05.2021,1907222041,"£1,313.60",NBNI* 210413130611207
Manchester City Council,Childrens & Education Services,Personal needs of client,04.05.2021,1907222091,£503.38,CURRYS ONLINE
Manchester City Council,Adult Social Care,Personal needs of client,04.05.2021,5101131488,"£2,523.00",James Leckey Design Ltd
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,04.05.2021,5101131480,"£2,980.00",Ove Arup & Partners Ltd
Manchester City Council,Regeneration Finance,Training and Development,05.05.2021,1907222537,"£1,500.00",Blue Book Artist Management Ltd
Manchester City Council,Hospitality + Trading Services,Training and Development,05.05.2021,5101131569,"£4,140.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Training and Development,05.05.2021,5101131647,"£1,365.30",Blackwell Publishers Ltd-Uk
Manchester City Council,Corporate Services,Training and Development,05.05.2021,5101131493,"£6,000.00",Life In Colour Coaching Limited
Manchester City Council,Insurance Fund,Insurance,05.05.2021,1907220028,"£6,904.00",Cordell & Co
Manchester City Council,Childrens & Education Services,Training and Development,05.05.2021,1907224527,"£14,700.00",Safe and Together Institute
Manchester City Council,Adult Social Care,Rents,05.05.2021,5101131649,"£160,794.91",District Homes Cic
Manchester City Council,Adult Social Care,Rents,05.05.2021,5101131644,"£9,171.79",Eeven Homes Ltd.
Manchester City Council,Adult Social Care,Rents,05.05.2021,5101131560,"£3,124.77",Houses4Homes 4U Ltd
Manchester City Council,Adult Social Care,Rents,05.05.2021,5101131561,"£3,124.77",Houses4Homes 4U Ltd
Manchester City Council,Adult Social Care,Rents,05.05.2021,1907222546,"£1,300.00",Jade Residential
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,05.05.2021,5101131511,"£1,274.00",Pest Bird Control Ltd
Manchester City Council,Corporate Services,Security,05.05.2021,5101131592,"£5,510.73",NSL Ltd
Manchester City Council,Manchester Leisure,Grounds Maintenance Costs,05.05.2021,5101131680,"-£2,852.46",Tivoli Group Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,05.05.2021,5101131691,"£24,872.60",Manchester Van Hire Ltd
Manchester City Council,Chief Executives,Vehicle Hire Costs,05.05.2021,5101131690,£642.42,Manchester Van Hire Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,05.05.2021,5101131688,"£1,057.17",Manchester Van Hire Ltd
Manchester City Council,Regeneration Finance,Travel,05.05.2021,5101131702,"£1,289.75",Office for Metropolitan Architectur
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,05.05.2021,5101131559,£570.00,Stagecoach Manchester
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,05.05.2021,5101131562,£570.00,Stagecoach Manchester
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,05.05.2021,5101131568,£570.00,Stagecoach Manchester
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,05.05.2021,5101131574,£570.00,Stagecoach Manchester
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,05.05.2021,5101131619,£570.00,Stagecoach Manchester
Manchester City Council,Manchester Leisure,Equipment,05.05.2021,5101131556,"£1,400.00",Willfab Ltd
Manchester City Council,Manchester Leisure,Equipment,05.05.2021,5101131557,"£1,400.00",Willfab Ltd
Manchester City Council,Manchester Leisure,Equipment,05.05.2021,5101131558,£650.00,Willfab Ltd
Manchester City Council,Adult Social Care,Equipment,05.05.2021,5101131698,£870.00,Smitcare Ltd
Manchester City Council,Highways Services,Building Materials for direct delivery,05.05.2021,5101131614,"£1,252.40",Aggregate Industries T/A Kennedy As
Manchester City Council,Highways Services,Building Materials for direct delivery,05.05.2021,5101131613,"£1,002.00",Aggregate Industries T/A Kennedy As
Manchester City Council,Highways Services,Building Materials for direct delivery,05.05.2021,5101131609,£975.12,Aggregate Industries T/A Kennedy As
Manchester City Council,Highways Services,Building Materials for direct delivery,05.05.2021,5101131604,£796.00,Aggregate Industries T/A Kennedy As
Manchester City Council,Highways Services,Building Materials for direct delivery,05.05.2021,5101131608,£776.80,Aggregate Industries T/A Kennedy As
Manchester City Council,Highways Services,Building Materials for direct delivery,05.05.2021,5101131610,£772.00,Aggregate Industries T/A Kennedy As
Manchester City Council,Highways Services,Building Materials for direct delivery,05.05.2021,5101131607,£764.40,Aggregate Industries T/A Kennedy As
Manchester City Council,Highways Services,Building Materials for direct delivery,05.05.2021,5101131605,£640.00,Aggregate Industries T/A Kennedy As
Manchester City Council,Highways Services,Building Materials for direct delivery,05.05.2021,5101131600,£581.20,Aggregate Industries T/A Kennedy As
Manchester City Council,Highways Services,Building Materials for direct delivery,05.05.2021,5101131598,£570.64,Aggregate Industries T/A Kennedy As
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,05.05.2021,5101131663,"£1,560.00",Rigby Taylor Ltd
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,05.05.2021,5101131665,"£1,560.00",Rigby Taylor Ltd
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,05.05.2021,5101131661,"£1,140.00",Rigby Taylor Ltd
Manchester City Council,Manchester Leisure,Hire of Equipment,05.05.2021,5101131643,£812.50,Eventplus Ltd
Manchester City Council,Manchester Leisure,Hire of Equipment,05.05.2021,5101131646,£557.50,Eventplus Ltd
Manchester City Council,Regeneration Finance,Training and Development,05.05.2021,5101131583,"£2,528.20",Assessment & Qualifications Allianc
Manchester City Council,Regeneration Finance,Training and Development,05.05.2021,5101131582,"£2,186.70",Assessment & Qualifications Allianc
Manchester City Council,Hospitality + Trading Services,Professional fees,05.05.2021,5101131685,-£609.50,Jacobs UK Ltd
Manchester City Council,Childrens & Education Services,Professional fees,05.05.2021,1907221220,£732.87,Millennium Translations Ltd
Manchester City Council,Corporate Services,Professional fees,05.05.2021,5101131485,"£4,060.00",Turner & Townsend Cost
Manchester City Council,Housing Revenue Account,Professional fees,05.05.2021,5101131660,"£14,718.87",NE1 Procurement Services Limited
Manchester City Council,Chief Executives,Professional fees,05.05.2021,1907221224,"£4,743.65",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Professional fees,05.05.2021,1907221221,"£2,797.29",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Professional fees,05.05.2021,1907221060,"£2,525.25",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Professional fees,05.05.2021,1907221240,"£2,293.75",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Professional fees,05.05.2021,1907221236,"£2,050.71",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Professional fees,05.05.2021,1907221238,"£1,962.50",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Professional fees,05.05.2021,1907221235,"£1,886.25",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Professional fees,05.05.2021,1907221237,"£1,781.25",Weightmans LLP Solicitors
Manchester City Council,Regeneration Finance,Professional fees,05.05.2021,5101131501,"£6,500.00",Savills (UK) Ltd
Manchester City Council,Regeneration Finance,Professional fees,05.05.2021,5101131502,"£6,500.00",Savills (UK) Ltd
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,05.05.2021,5101131593,£500.00,Gorton Events Committee
Manchester City Council,Chief Executives,Advertising,05.05.2021,5101131651,"£1,133.33",JPIMedia Publishing Ltd
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,05.05.2021,5101131617,"£28,499.82",Redacted Personal Information
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,05.05.2021,5101131571,"£11,799.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,05.05.2021,5101131652,"£5,610.00",Redacted Personal Information
Manchester City Council,General Fund,Bus Rates Pool Top Up Payments,05.05.2021,1907224529,"£3,478,687.00",DCLG
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,05.05.2021,5101131573,"£1,116.00",The Orchards School
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,05.05.2021,5101131492,-£521.25,Firs Primary School
Manchester City Council,Childrens & Education Services,Payments for services,05.05.2021,5101131565,"£2,883.60",Redacted Personal Information
Manchester City Council,Childrens & Education Services,Payments for services,05.05.2021,5101131563,"£2,474.01",Redacted Personal Information
Manchester City Council,Childrens & Education Services,Payments for services,05.05.2021,5101131595,"£1,767.32",Reed Employment Plc
Manchester City Council,Childrens & Education Services,Payments for services,05.05.2021,5101131639,"£1,663.36",Reed Employment Plc
Manchester City Council,Childrens & Education Services,Payments for services,05.05.2021,1907221228,"£1,349.00",Redacted Personal Information
Manchester City Council,Childrens & Education Services,Payments for services,05.05.2021,5101131603,"£1,247.52",Reed Employment Plc
Manchester City Council,Childrens & Education Services,Payments for services,05.05.2021,5101131616,£909.65,Reed Employment Plc
Manchester City Council,Childrens & Education Services,Payments for services,05.05.2021,5101131601,£727.72,Reed Employment Plc
Manchester City Council,Childrens & Education Services,Payments for services,05.05.2021,5101131631,£623.76,Reed Employment Plc
Manchester City Council,Childrens & Education Services,Payments for services,05.05.2021,5101131599,£519.80,Reed Employment Plc
Manchester City Council,Childrens & Education Services,Payments for services,05.05.2021,5101131627,£519.80,Reed Employment Plc
Manchester City Council,Childrens & Education Services,Foster Payments,05.05.2021,1907227551,£556.36,Redacted Personal Information
Manchester City Council,Childrens & Education Services,Day Care Payments,05.05.2021,5101131590,"£1,083.13",Brighter Beginnings Day Nursery
Manchester City Council,Childrens & Education Services,Day Care Payments,05.05.2021,5101131588,£666.67,Brighter Beginnings Day Nursery
Manchester City Council,Childrens & Education Services,Day Care Payments,05.05.2021,5101131589,£666.67,Brighter Beginnings Day Nursery
