Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Refuse Collection,02.11.2020,5101108404,"£1,982.00",Dickinson Environmental
Manchester City Council,Manchester Leisure,Equipment,02.11.2020,5101108414,£650.85,The Helping Hand Company Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.11.2020,1907022469,"£1,107.48",Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.11.2020,1907022397,£599.79,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.11.2020,1907022382,£596.74,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.11.2020,1907022409,£580.97,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.11.2020,1907022398,£548.24,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.11.2020,1907022385,£518.93,Ralph Livesey Ltd
Manchester City Council,Childrens & Education Services,Transport Coach Hire,02.11.2020,5101108391,"£3,650.00",D.J. Minibus Travel
Manchester City Council,Childrens & Education Services,Professional fees,02.11.2020,5101108402,"£2,400.00",Advanced Child Care Assessments
Manchester City Council,Childrens & Education Services,Professional fees,02.11.2020,5101108399,"£2,000.00",Cushman & Wakefield
Manchester City Council,Childrens & Education Services,Professional fees,02.11.2020,5101108365,"£1,156.40",Forensic Testing Service Ltd
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,02.11.2020,5101108361,"£8,021.09",New Bridge School
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,02.11.2020,5101108363,"£2,019.42",New Bridge School
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,02.11.2020,5101108362,"£1,156.87",New Bridge School
Manchester City Council,Childrens & Education Services,Payments for services,02.11.2020,5101108379,"£21,400.00",Enhance EHC Ltd
Manchester City Council,Adult Social Care,Rents,02.11.2020,5101108375,£930.00,Mears Limited
Manchester City Council,Adult Social Care,Rents,02.11.2020,5101108385,£930.00,Mears Limited
Manchester City Council,Adult Social Care,Rents,02.11.2020,5101108381,£900.00,Mears Limited
Manchester City Council,Adult Social Care,Rents,02.11.2020,5101108384,£871.01,Mears Limited
Manchester City Council,Adult Social Care,Rents,02.11.2020,5101108396,£840.00,Mears Limited
Manchester City Council,Adult Social Care,Rents,02.11.2020,5101108395,£786.75,Mears Limited
Manchester City Council,Adult Social Care,Rents,02.11.2020,5101108413,£766.01,Mears Limited
Manchester City Council,Adult Social Care,Rents,02.11.2020,5101108416,£766.01,Mears Limited
Manchester City Council,Adult Social Care,Rents,02.11.2020,5101108421,£766.01,Mears Limited
Manchester City Council,Adult Social Care,Rents,02.11.2020,5101108409,£741.30,Mears Limited
Manchester City Council,Adult Social Care,Rents,02.11.2020,5101108420,£741.30,Mears Limited
Manchester City Council,Adult Social Care,Rents,02.11.2020,5101108382,£593.04,Mears Limited
Manchester City Council,Adult Social Care,Rents,02.11.2020,5101108410,£561.98,Mears Limited
Manchester City Council,Adult Social Care,Contract Cleaning External,02.11.2020,5101108371,"£1,495.00",Fishers Cleaning Services Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.11.2020,5101108423,"£13,782.14",Breakthrough Uk Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.11.2020,5101108423,"£3,707.88",Breakthrough Uk Ltd
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,02.11.2020,1907014436,£600.00,Halo Media Ltd
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,02.11.2020,5101108357,"£2,027.44",Switch2 Energey Limited
Manchester City Council,Chief Executives,Agency staff provision,02.11.2020,5101108424,"£9,706.00",Venn Group Ltd
Manchester City Council,Chief Executives,AVC NI,02.11.2020,1906996506,"£4,604.95",AVC Wise Ltd
Manchester City Council,Chief Executives,Professional fees,02.11.2020,1907021717,£870.00,18 St John Street Chambers
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,02.11.2020,5101108356,"£12,000.00",Gardiner & Theobald LLP
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,02.11.2020,5101108358,"£12,000.00",Gardiner & Theobald LLP
Manchester City Council,Chief Executives,Legal Fees,02.11.2020,1907012969,"£74,650.00",Coden House Chambers
Manchester City Council,Chief Executives,Compensation Payments,02.11.2020,1907021710,£504.00,Medico-Legal North West
Manchester City Council,Highways Services,Rents,02.11.2020,1907006499,"£310,045.90",Colliers International (Client A/C)
Manchester City Council,Highways Services,Rents,02.11.2020,1907006500,"£3,480.64",Colliers International (Client A/C)
Manchester City Council,Highways Services,Payments to Sub-Contractors,02.11.2020,5101108383,"£18,282.00",Rosgal Ltd
Manchester City Council,Highways Services,Compensation Payments,02.11.2020,1907021719,£591.04,Esure Insurance
Manchester City Council,Manchester Leisure,Equipment,03.11.2020,5101108407,"£1,250.00",Flowprotect Ltd
Manchester City Council,Manchester Leisure,Professional fees,03.11.2020,1907023673,"£11,750.00",EMARKETER INC
