Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,01.11.2021,5105784084,£553.60,Kikkerland Europe BV,,,,
Manchester City Council,Manchester Leisure,Special Event,01.11.2021,1907388083,£525.00,Imageit,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.11.2021,1907374276,"£4,143.58",Lime Tree Foods Ltd,,,,
Manchester City Council,Hospitality + Trading Services,Radio Charges,01.11.2021,5105784054,£792.00,North West Radio Communications Ltd,,,,
Manchester City Council,Childrens & Education Services,Internal Repairs and Maintenance for buildings,01.11.2021,5105783990,"£1,602.81",NU3PS,,,,
Manchester City Council,Childrens & Education Services,Internal Repairs and Maintenance for buildings,01.11.2021,5105784032,"£1,438.04",NU3PS,,,,
Manchester City Council,Childrens & Education Services,Professional fees,01.11.2021,5105784042,"£5,000.00",The Frontline Organisation,,,,
Manchester City Council,Childrens & Education Services,Professional fees,01.11.2021,1907381629,"£1,800.00",School Improvement Liverpool,,,,
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,01.11.2021,5105784046,"£26,000.00",We Mind the Gap,,,,
Manchester City Council,Childrens & Education Services,Payments for services,01.11.2021,5105784100,"£12,013.35",4CT Limited,,,,
Manchester City Council,Adult Social Care,Rents,01.11.2021,5105784024,"£4,359.01",Housing Social Ltd,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.11.2021,5105784045,"£100,000.00",The Depaul Trust,,,,
Manchester City Council,Corporate Services,Professional fees,01.11.2021,5105784044,"£37,500.00",Price Waterhouse Coopers LLP,,,,
Manchester City Council,Corporate Services,Fees,01.11.2021,5105784108,"£4,000.00",Pannone Corporate LLP,,,,
Manchester City Council,Corporate Services,Fees,01.11.2021,5105784109,"£2,000.00",Pannone Corporate LLP,,,,
Manchester City Council,Corporate Services,Gym Membership,01.11.2021,1907388030,"£1,676.48",Greenwich Leisure Limited,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.11.2021,5105784086,"-£441,167.00",Bam Nuttall Ltd,,,,
Manchester City Council,Housing Revenue Account,External repairs and maintenance for buildings,01.11.2021,5105784105,£545.00,Sheridan Lifts Ltd,,,,
Manchester City Council,Chief Executives,Agency staff provision,01.11.2021,5105784059,"£10,502.82",LAW Absolute,,,,
Manchester City Council,Chief Executives,Advertising,01.11.2021,5105784056,"£1,431.00",MA Education Limited,,,,
Manchester City Council,Chief Executives,Advertising,01.11.2021,5105784030,£975.00,Guardian News and Media Limited,,,,
Manchester City Council,Regeneration Finance,Rents,01.11.2021,1907386813,"£96,500.00",Eric Wright Group Ltd,,,,
Manchester City Council,Highways Services,Building Materials for direct delivery,01.11.2021,5105784230,£904.57,Benchmark Building Supplies Ltd,,,,
Manchester City Council,Highways Services,Professional fees,01.11.2021,5105784052,"£6,237.00",MetDesk Ltd,,,,
Manchester City Council,Insurance Fund,Insurance,01.11.2021,1907388081,"£6,722.00",HARRIS FOWLER LTD,,,,
Manchester City Council,Manchester Leisure,Contract Cleaning External,02.11.2021,5105784031,"£13,650.00",Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Refuse Collection,02.11.2021,5105784034,"£73,121.77",Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Refuse Collection,02.11.2021,5105784035,"£29,754.36",Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Security,02.11.2021,5105784061,"£3,378.82",Showsec International Ltd,,,,
Manchester City Council,Manchester Leisure,Vehicle Fuel Costs,02.11.2021,5105784225,£903.31,Standard Fuels Oils,,,,
Manchester City Council,Manchester Leisure,Equipment,02.11.2021,5105784037,£819.54,Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Equipment,02.11.2021,5105784036,£809.51,Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,02.11.2021,5105783987,"£11,778.75",Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,02.11.2021,5105783989,"£10,982.25",Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,02.11.2021,5105784462,£516.26,Arco Group Ltd,,,,
Manchester City Council,Manchester Leisure,Reuse credits,02.11.2021,5105784033,"£15,500.01",Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,I T Provision,02.11.2021,5105784128,"£26,998.96",Cancom UK&I,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,02.11.2021,5105784224,"£16,795.64",Standard Fuels Oils,,,,
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,02.11.2021,5105784274,"£4,536.00",Showsec International Ltd,,,,
Manchester City Council,Environment and Operations,Construction Works,02.11.2021,5105784101,"£203,267.74",Kiely Bros Ltd,,,,
