Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.10.2020,5101103932,"£4,000.00",Smithfield Residents Group
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.10.2020,5101103931,"£2,350.00",Burnage Community Association.
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.10.2020,5101103947,"£1,719.00",Whalley Rangers
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.10.2020,5101103934,"£1,000.00",Islamic Education Trust
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.10.2020,5101103936,£750.00,Platt Claremont Residents Assoc
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.10.2020,5101103930,£745.00,Residents of Gordon St Area
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.10.2020,5101103945,£720.00,NEPHRA residents Association
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.10.2020,5101103933,£500.00,Anson Community Shop
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,01.10.2020,5101103989,"£93,918.85",Makers Construction Limited
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,01.10.2020,5101104030,"£1,159.11",Manchester Van Hire Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.10.2020,5101104032,"£32,237.56",Manchester Van Hire Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.10.2020,5101104075,"£5,026.07",Readyplant Ltd
Manchester City Council,Environment and Operations,Construction Works,01.10.2020,5101103988,"£99,027.62",Balfour Beatty Living Places Ltd
Manchester City Council,Childrens & Education Services,Travel,01.10.2020,1906995722,£572.20,Diversity Travel Ltd
Manchester City Council,Childrens & Education Services,Professional fees,01.10.2020,1906995794,£556.79,AGENCE INVESTIGATIONS sarl
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.10.2020,5101103937,"£18,480.00",Co-Op Academy
Manchester City Council,Childrens & Education Services,Payments for services,01.10.2020,5101104000,"£4,467.50",The Together Trust
Manchester City Council,Childrens & Education Services,Payments for services,01.10.2020,5101103999,"£1,773.21",The Together Trust
Manchester City Council,Childrens & Education Services,Payments for services,01.10.2020,5101103998,"£1,560.04",The Together Trust
Manchester City Council,Childrens & Education Services,Payments for services,01.10.2020,5101103996,"£1,203.92",The Together Trust
Manchester City Council,Childrens & Education Services,Payments for services,01.10.2020,5101103994,"£1,182.14",The Together Trust
Manchester City Council,Childrens & Education Services,Payments for services,01.10.2020,5101103995,"£1,178.00",The Together Trust
Manchester City Council,Childrens & Education Services,Payments for services,01.10.2020,5101103997,"£1,178.00",The Together Trust
Manchester City Council,Childrens & Education Services,Payments for services,01.10.2020,5101103993,"£1,102.40",The Together Trust
Manchester City Council,Adult Social Care,Furniture,01.10.2020,5101103986,£558.33,Camilla Carpets Ltd
Manchester City Council,Adult Social Care,Stationery,01.10.2020,5101103991,"£5,547.50",Mosscare St Vincent's Housing
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.10.2020,5101103922,"£32,308.52",Redacted Personal Information
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.10.2020,5101103950,"£11,073.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.10.2020,5101103952,"£10,143.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Payments for services,01.10.2020,5101103963,"£274,478.18",Standwalk Ltd
Manchester City Council,Chief Executives,Vehicle Hire Costs,01.10.2020,5101103924,£642.42,Manchester Van Hire Ltd
Manchester City Council,Chief Executives,Personal needs of client,01.10.2020,1906992454,"£1,350.00",Redacted Personal Information
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,01.10.2020,5101104024,"£72,811.00",Office for Metropolitan Architectur
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,01.10.2020,5101104025,"£72,811.00",Office for Metropolitan Architectur
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,01.10.2020,5101104099,"£72,811.00",Office for Metropolitan Architectur
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,01.10.2020,5101104101,"£72,811.00",Office for Metropolitan Architectur
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,01.10.2020,5101104009,"-£72,811.00",Office for Metropolitan Architectur
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,01.10.2020,5101104013,"-£72,811.00",Office for Metropolitan Architectur
Manchester City Council,Chief Executives,Legal Fees,01.10.2020,1906994625,£750.00,Trinity Chambers
Manchester City Council,Chief Executives,Legal Fees,01.10.2020,1906994629,£750.00,Trinity Chambers
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,01.10.2020,5101103954,"£30,423.91",ENGIE Services Ltd
Manchester City Council,Regeneration Finance,Professional fees,01.10.2020,5101103977,"£19,000.00",Roger Hannah & Co
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,01.10.2020,5101103987,"£1,274.48",Carol Bartram Associates Ltd
Manchester City Council,Regeneration Finance,Legal Fees,01.10.2020,1906990943,"£3,970.00",Addleshaw Goddard Solicitors
Manchester City Council,Highways Services,Grant Payments,01.10.2020,5101104001,"£4,158.00",Bike Right
Manchester City Council,Highways Services,Professional fees,01.10.2020,5101103916,"£38,049.28",Sapphire Utility Solutions
Manchester City Council,Highways Services,Professional fees,01.10.2020,5101103915,"-£38,049.28",Sapphire Utility Solutions
Manchester City Council,Highways Services,Tipping Charges - Tonnage,01.10.2020,5101103958,"£1,970.00",J.Hopkins (Contractors) Ltd.
Manchester City Council,Highways Services,Tipping Charges - Tonnage,01.10.2020,5101103960,"£1,657.83",J.Hopkins (Contractors) Ltd.
Manchester City Council,Manchester Leisure,Refuse Collection,02.10.2020,5101103919,"£1,320.00",Dickinson Environmental
Manchester City Council,Manchester Leisure,Refuse Collection,02.10.2020,5101103918,£950.00,Dickinson Environmental
Manchester City Council,Manchester Leisure,Refuse Collection,02.10.2020,5101103917,£602.00,Dickinson Environmental
Manchester City Council,Manchester Leisure,Grounds Maintenance Costs,02.10.2020,5101104118,"£2,852.46",Tivoli Group Ltd
Manchester City Council,Manchester Leisure,Professional fees,02.10.2020,5101104108,£700.00,Kensite Services Ltd
Manchester City Council,Manchester Leisure,Compensation Payments,02.10.2020,1906995381,"£1,500.00",Maddocks Clarke Sols
Manchester City Council,Manchester Leisure,Compensation Payments,02.10.2020,1906995394,"£1,480.00",Redacted Personal Information
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,02.10.2020,5101104094,"£9,675.00",Manchester Metropolitan University
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,02.10.2020,5101104082,"£5,000.00",Wythenshawe Community Farm
Manchester City Council,Environment and Operations,Construction Works,02.10.2020,5101104119,"£69,639.32",Eric Wright Civil Engineering Limit
Manchester City Council,Childrens & Education Services,Furniture,02.10.2020,5101104076,"£6,360.00",Theraposture Ltd
Manchester City Council,Childrens & Education Services,Furniture,02.10.2020,5101104077,"£5,980.00",Theraposture Ltd
Manchester City Council,Childrens & Education Services,Professional fees,02.10.2020,1906995720,£500.00,Redacted Personal Information
Manchester City Council,Childrens & Education Services,CORONA VIRUS D-19,02.10.2020,5101104150,"£71,074.50",APTSL
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,02.10.2020,5101104091,"£43,209.00",Manor Academy
Manchester City Council,Childrens & Education Services,Payments for services,02.10.2020,5101104087,"£37,050.00",Social Care Services (Clayton) Ltd
Manchester City Council,Childrens & Education Services,Personal Needs of Residents - Other Amenities,02.10.2020,1906995726,"£4,550.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Rents,02.10.2020,5101104162,"£89,034.43",Accommodation Links Ltd
Manchester City Council,Adult Social Care,Rents,02.10.2020,5101104161,"£84,628.71",Accommodation Links Ltd
Manchester City Council,Adult Social Care,Rents,02.10.2020,1906995724,"£1,950.00",Judge Properties
Manchester City Council,Adult Social Care,Rents,02.10.2020,1906994606,£805.00,Shared Habitat
Manchester City Council,Adult Social Care,Rents,02.10.2020,1906995721,£560.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Equipment,02.10.2020,5101104081,"£2,090.00",Aidapt Bathrooms Ltd
Manchester City Council,Adult Social Care,Professional fees,02.10.2020,5101104107,"£8,750.00",The Children'S Society Services Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.10.2020,5101103926,"£13,265.64",Great Places Housing Association
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.10.2020,5101104121,"£1,629.00",Alzheimers Society (Mcr Branch)
Manchester City Council,Adult Social Care,Payments for services,02.10.2020,5101104135,"£5,940.00",Kaleidoscope Project
Manchester City Council,Adult Social Care,Supporting People Payments,02.10.2020,5101104158,"£128,595.01",Creative Support Ltd
Manchester City Council,Adult Social Care,Supported Accommodation,02.10.2020,5101104110,"£1,150.00",MCC Council Tax (int)
Manchester City Council,Adult Social Care,Legal Fees,02.10.2020,1906995160,£850.00,Trinity Chambers
Manchester City Council,Corporate Services,Welfare Provision Service Awards,02.10.2020,5101104056,"£1,069.91",Furniture Resource Centre Ltd
Manchester City Council,Corporate Services,Welfare Provision Service Awards,02.10.2020,5101104172,£885.36,Furniture Resource Centre Ltd
