Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,,
Manchester City Council,Adult Social Care,Storage Costs,01.10.2018,5100997493,"£1,833.06",Iron Mountain,,,,,
Manchester City Council,Adult Social Care,Storage Costs,01.10.2018,5100997806,£873.59,Iron Mountain,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.10.2018,5100997810,"£13,095.00",The Shaw Centre,,,,,
Manchester City Council,Adult Social Care,Personal needs of client,01.10.2018,1906212016,£679.46,Willow Park Housing Trust,,,,,
Manchester City Council,Manchester Leisure,Contract Cleaning External,01.10.2018,5100997507,"£2,159.70",GTS Steam Cleaners,,,,,
Manchester City Council,Regeneration Finance,Security,01.10.2018,5100997508,"£12,754.56",Showsec International Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212867,"£1,448.84",Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212952,"£1,135.89",Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906213030,"£1,105.10",Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212996,£851.84,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212868,£843.77,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212942,£805.89,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212870,£776.51,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906213000,£767.50,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212773,£732.33,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212839,£647.13,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212899,£631.83,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212887,£618.86,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212779,£617.65,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212929,£591.27,Brake Bros Foodservice Ltd,,,,,
