Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Agency staff provision,01.10.2021,5105779470,"£5,328.00",Proventure Consulting
Manchester City Council,Manchester Leisure,Professional fees,01.10.2021,5105779543,"£1,000.00",Redacted Personal Information
Manchester City Council,Manchester Leisure,Professional fees,01.10.2021,5105779551,"£4,950.00",Inforhousing
Manchester City Council,Environment and Operations,Construction Works,01.10.2021,5105779532,"-£10,999.78",J.Hopkins (Contractors) Ltd.
Manchester City Council,Childrens & Education Services,Professional fees,01.10.2021,5105779524,"£20,000.00",Me Learning Limited
Manchester City Council,Childrens & Education Services,Subsistence and Conference Expenses,01.10.2021,5105779525,"£4,200.00",Inclusive Choice
Manchester City Council,Childrens & Education Services,Subsistence and Conference Expenses,01.10.2021,5105779526,"£3,150.00",Inclusive Choice
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.10.2021,5105779538,"£4,289.00",Lum Head Primary School
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.10.2021,5105779468,"£2,605.00",Hursthead Junior School
Manchester City Council,Childrens & Education Services,Payments for services,01.10.2021,5105779518,"£10,616.48",Reed Employment Plc
Manchester City Council,Adult Social Care,Training and Development,01.10.2021,5105779517,£640.00,Luther King House Educational Trust
Manchester City Council,Adult Social Care,Rents,01.10.2021,5105779527,"£4,171.00",M&D Residential Ltd
Manchester City Council,Adult Social Care,Rents,01.10.2021,1907361663,"£2,780.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Rents,01.10.2021,1907361665,"£2,160.00",Roseland Property Capital Ltd
Manchester City Council,Adult Social Care,Equipment,01.10.2021,5105779533,£826.20,NRS Healthcare
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.10.2021,5105779540,"£5,471.87",Pure Innovations Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.10.2021,5105779549,"£8,158.00",Greater Manchester Immigration Aid
Manchester City Council,Corporate Services,Catering,01.10.2021,1907361666,"£1,800.00",ZOBRA LTD
Manchester City Council,Chief Executives,Licences Purchase,01.10.2021,5105779440,"£1,800.00",Complete Background Screening Ltd
Manchester City Council,Chief Executives,Personal needs of client,01.10.2021,5105779537,"£3,000.00",Carol Bartram Associates Ltd
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,01.10.2021,1907361667,"£7,373.00",Browne Jacobson
Manchester City Council,Manchester Leisure,Storage Costs,04.10.2021,5105779619,£669.91,Cleardata
Manchester City Council,Manchester Leisure,Furniture,04.10.2021,1907362108,"£2,112.00",RAPID RACKING
Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",04.10.2021,1907362061,£525.51,PAYPAL (UK) P CARD ONLY
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,04.10.2021,5105779792,"£1,995.00",Flowprotect Ltd
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,04.10.2021,5105779791,"£1,850.00",Flowprotect Ltd
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,04.10.2021,5105779765,"£2,750.00",Arboricultural Services Treework
Manchester City Council,Manchester Leisure,Professional fees,04.10.2021,5105779548,"£4,000.00",HOME
Manchester City Council,Manchester Leisure,Professional fees,04.10.2021,5105779534,"£1,000.00",No Stone Unturned Fundraising
Manchester City Council,Manchester Leisure,Special Event,04.10.2021,5105779550,"£3,484.45",Scrutiny Cleaning Services
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,04.10.2021,5105779638,"£2,720.82",Dawsongroup Sweepers
Manchester City Council,Hospitality + Trading Services,Equipment,04.10.2021,1907362075,"£4,672.40",Stapletons Tyre Services
Manchester City Council,Hospitality + Trading Services,Equipment,04.10.2021,1907362264,"£3,666.90",Stapletons Tyre Services
Manchester City Council,Hospitality + Trading Services,Goods purchased for resale in Council outlets,04.10.2021,5105779610,£774.85,Treasured Memories Ltd
Manchester City Council,Environment and Operations,Construction Works,04.10.2021,5105779535,"£10,999.78",J.Hopkins (Contractors) Ltd.
Manchester City Council,Childrens & Education Services,Training and Development,04.10.2021,5105779572,"£93,235.28",One Education Ltd
Manchester City Council,Childrens & Education Services,Professional fees,04.10.2021,5105779788,"£2,855.16",Warwickshire County Council
Manchester City Council,Childrens & Education Services,Professional fees,04.10.2021,5105779787,"£2,800.50",Warwickshire County Council
Manchester City Council,Childrens & Education Services,Professional fees,04.10.2021,1907361433,£799.76,Pickering Psychology Services Ltd
Manchester City Council,Childrens & Education Services,Professional fees,04.10.2021,5105779575,"£1,800.00",Redacted Personal Information
