Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.09.2020,5101099567,"£2,050.00",Ramora Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,01.09.2020,5101099520,"£11,124.73",Carlton Fuels Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,01.09.2020,5101099522,"£6,928.19",Carlton Fuels Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,01.09.2020,5101099549,£826.37,Fleet Dynamic Consultancy Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.09.2020,5101099532,"£1,835.40",F.R.Sharrock Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.09.2020,5101099535,"£1,950.40",Gibsons Garden Machinery Limited
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.09.2020,5101099548,"£1,476.60",Gibsons Garden Machinery Limited
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.09.2020,5101099543,"£1,315.60",Gibsons Garden Machinery Limited
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.09.2020,5101099547,"£1,288.00",Gibsons Garden Machinery Limited
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.09.2020,5101099539,"£1,140.80",Gibsons Garden Machinery Limited
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.09.2020,5101099537,£644.00,Gibsons Garden Machinery Limited
Manchester City Council,Hospitality + Trading Services,Compensation Payments,01.09.2020,1906958429,"£8,723.60",CLATTERBRIDGE PRIVATE CLINIC
Manchester City Council,Hospitality + Trading Services,Compensation Payments,01.09.2020,1906958588,"£8,000.00",The Asbestos Law Partnership
Manchester City Council,Hospitality + Trading Services,Compensation Payments,01.09.2020,1906958484,"£43,550.00",Boyes Turner Solicitors
Manchester City Council,Childrens & Education Services,Payments for services,01.09.2020,5101099568,"£16,380.00",Time Specialist Support Ltd
Manchester City Council,Childrens & Education Services,Payments for services,01.09.2020,5101099552,£798.51,DHP Care Limited
Manchester City Council,Adult Social Care,Rents,01.09.2020,5101099544,£743.21,Northwards Housing Limited
Manchester City Council,Adult Social Care,Rents,01.09.2020,5101099558,-£743.21,Northwards Housing Limited
Manchester City Council,Adult Social Care,Rents,01.09.2020,5101099530,"£31,133.37",United Property Management Ltd
Manchester City Council,Adult Social Care,Rents,01.09.2020,5101099534,"£131,778.73",District Homes Cic
Manchester City Council,Adult Social Care,Rents,01.09.2020,5101099538,"£92,929.76",Manchester Housing Group Ltd
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.09.2020,5101099541,"£8,425.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.09.2020,5101099498,"£4,680.00",Medlock House Ltd
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.09.2020,5101099497,"£4,590.00",Medlock House Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.09.2020,5101099584,"£48,750.00",Centrepoint-YPSF
Manchester City Council,Adult Social Care,Supporting People Payments,01.09.2020,5101099570,"£57,200.00",Centrepoint-YPSF
Manchester City Council,Corporate Services,Printing,01.09.2020,5101099569,"£1,825.50",Mail Solutions
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01.09.2020,5101099591,"£19,397.48",Manchester Working Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01.09.2020,5101099592,"£52,159.08",Rothwell Plumbing Services Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01.09.2020,5101099590,"£8,470.44",Rothwell Plumbing Services Ltd
Manchester City Council,Chief Executives,Equipment,01.09.2020,1906958474,"£2,167.50",Engineering Plastic Services
Manchester City Council,Chief Executives,Printing,01.09.2020,5101099572,£907.00,Mail Solutions
Manchester City Council,Chief Executives,Professional fees,01.09.2020,1906959551,£812.50,Redacted Personal Information
Manchester City Council,Chief Executives,Professional fees,01.09.2020,1906961988,£950.00,18 St John Street Chambers
