Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.09.2021,1907336569,"£9,854.98",84 Youth CIC,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.09.2021,5105775882,"£1,193.40",Little Italy,,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,01.09.2021,1907336459,"£1,203.92",Experian Limited,,
Manchester City Council,Manchester Leisure,Special Event,01.09.2021,1907336568,"£20,000.00",Peace Full Media Ltd,,
Manchester City Council,Childrens & Education Services,Payments for services,01.09.2021,1907326781,"£5,206.32",Manchester Urban Diggers CIC,,
Manchester City Council,Childrens & Education Services,Personal needs of client,01.09.2021,5105775921,"£1,000.00",Hemingways Marketing Services Ltd,,
Manchester City Council,Adult Social Care,Rents,01.09.2021,1907336436,£500.00,Redacted Personal Information,,
Manchester City Council,Adult Social Care,Security,01.09.2021,5105775906,"£2,142.00",UNIQUE SPECIALIST SERVICES,,
Manchester City Council,Adult Social Care,Security,01.09.2021,5105775905,"£2,078.25",UNIQUE SPECIALIST SERVICES,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.09.2021,5105775895,"£173,019.60",ISG Construction Limited,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.09.2021,5105775896,"£4,230.50",ISG Construction Limited,,
Manchester City Council,Chief Executives,Grant and subscriptions awarded,01.09.2021,1907326788,"£2,310.00",The Accessible Digital Doc Co Ltd,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,01.09.2021,5105775935,"£3,500.00",Office for Metropolitan Architectur,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,01.09.2021,5105775907,"£2,583.65",Quadrant Security Group,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,01.09.2021,5105775909,"£2,583.56",Quadrant Security Group,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,01.09.2021,5105775911,"£2,583.56",Quadrant Security Group,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,01.09.2021,5105775908,"£2,504.35",Quadrant Security Group,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,01.09.2021,5105775910,"£2,504.28",Quadrant Security Group,,
Manchester City Council,Highways Services,Legal Fees,01.09.2021,1907330820,"£18,956.96",Lyons Davidson Solicitors,,
Manchester City Council,Manchester Leisure,Agency staff provision,02.09.2021,5105776027,"£5,994.00",Proventure Consulting,,
Manchester City Council,Manchester Leisure,Equipment,02.09.2021,1907336435,"£11,712.00",Pel UK Rentals Ltd,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,02.09.2021,5105776006,£675.70,Landscape Supply Company,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,02.09.2021,5105775962,£750.00,Willfab Ltd,,
Manchester City Council,Manchester Leisure,Legal Fees,02.09.2021,5105776016,"£2,055.00",Redacted Personal Information,,
Manchester City Council,Manchester Leisure,Professional fees,02.09.2021,5105775925,"£1,679.19",Sure Maintenance Ltd,,
Manchester City Council,Manchester Leisure,Professional fees,02.09.2021,5105776015,"£1,050.00",Redacted Personal Information,,
Manchester City Council,Manchester Leisure,Special Event,02.09.2021,1907329537,"£1,575.00",Ashfield Ventures Ltd,,
Manchester City Council,Manchester Leisure,Special Event,02.09.2021,5105775934,£620.00,Historys Maid,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,02.09.2021,5105775946,"£2,511.36",R & M Developments Ltd,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,02.09.2021,5105775947,"-£2,511.36",R & M Developments Ltd,,
Manchester City Council,Environment and Operations,Construction Works,02.09.2021,5105775902,"£14,500.00",Wilde Consultants Ltd,,
Manchester City Council,Environment and Operations,Construction Works,02.09.2021,5105775870,"£4,844.00",Wilde Consultants Ltd,,
Manchester City Council,Environment and Operations,Construction Works,02.09.2021,5105775901,"£1,436.63",Wilde Consultants Ltd,,
Manchester City Council,Environment and Operations,Construction Works,02.09.2021,5105775952,"£1,040.00",Cycloan Educ & Restorative Approach,,
Manchester City Council,Childrens & Education Services,Training and Development,02.09.2021,5105775945,"£3,000.00",Wipers Youth CIC,,
Manchester City Council,Childrens & Education Services,Legal Fees,02.09.2021,1907315994,"£5,894.00",Clyde & Co Claims LLP,,
