date,team,win/lose,score,home/away,possession,total shots,shots on target,total passes,passes completed,tackles won,aerial duels won
2023/8/14,MAN UTD VS WOLVES,win,1,home,51%,15,3,465,383,11,7
2023/8/19,SPURS VS MAN UTD,lose,0,away,44%,22,6,401,332,11,10
2023/8/26,MAN UTD VS NOTT'M FOREST,win,3,home,66%,18,9,637,548,9,11
2023/9/3,ARSENAL VS MAN UTD,lose,1,away,45%,10,2,462,392,6,13
2023/9/16,MAN UTD VS BRIGHTON,lose,1,home,44%,14,4,497,425,10,1
2023/9/23,BURNLEY VS MAN UTD,win,1,away,38%,11,4,403,322,10,11
2023/9/30,MANUTD VS CRYSTAL PALACE,lose,0,home,77%,19,4,741,653,21,10
2023/10/7,MANUTD VS BRENTFORD,win,2,home,64%,21,8,557,488,2,13
2023/10/21,SHEFF UTD VS MAN UTD,win,2,away,63%,14,5,556,449,8,16
2023/10/29,MAN UTD VS MAN CITY,lose,0,home,40%,7,3,391,316,8,7
2023/11/4,FULHAM VS MANUTD,win,1,away,55%,12,5,454,357,9,20
2023/11/11,MAN UTD VS LUTON,win,1,home,65%,15,4,576,501,10,13
2023/11/26,EVERTON VS MAN UTD,win,3,away,49%,9,4,444,338,9,22
2023/12/2,NEWCASTLE VS MAN UTD,lose,0,away,42%,8,1,366,277,9,10
2023/12/6,MAN UTD VS CHELSEA,win,2,home,45%,28,9,397,339,13,5
2023/12/9,MAN UTD VS BOURNEMOUTH,lose,0,home,69%,20,3,660,561,15,22
2023/12/17,LIVERPOOL VS MAN UTD,draw,0,away,32%,6,1,293,209,10,15
2023/12/23,WEST HAM VS MAN UTD,lose,0,away,66%,11,3,626,536,11,18
2023/12/26,MAN UTD VS ASTON VILLA,win,3,home,46%,13,7,393,313,16,15
2023/12/30,NOTT'M FOREST VS MAN UTD,lose,1,away,55%,10,5,489,395,8,9
